time,symbol,value
2023-02-09,BTC_SPLYADRTOP100,2855108.98665457
2023-02-10,BTC_SPLYADRTOP100,2859428.04305469
2023-02-11,BTC_SPLYADRTOP100,2859842.72995703
2023-02-12,BTC_SPLYADRTOP100,2860124.37762424
2023-02-13,BTC_SPLYADRTOP100,2855184.12198923
2023-02-14,BTC_SPLYADRTOP100,2853147.41953499
2023-02-15,BTC_SPLYADRTOP100,2861391.71779778
2023-02-16,BTC_SPLYADRTOP100,2867243.93552454
2023-02-17,BTC_SPLYADRTOP100,2864872.54292748
2023-02-18,BTC_SPLYADRTOP100,2865707.98409318
2023-02-19,BTC_SPLYADRTOP100,2865121.9102197
2023-02-20,BTC_SPLYADRTOP100,2867105.13236225
2023-02-21,BTC_SPLYADRTOP100,2871188.02239054
2023-02-22,BTC_SPLYADRTOP100,2872553.96140404
2023-02-23,BTC_SPLYADRTOP100,2875709.27796221
2023-02-24,BTC_SPLYADRTOP100,2868506.63707906
2023-02-25,BTC_SPLYADRTOP100,2870087.14128963
2023-02-26,BTC_SPLYADRTOP100,2870755.21690016
2023-02-27,BTC_SPLYADRTOP100,2862683.01536948
2023-02-28,BTC_SPLYADRTOP100,2873737.83641803
2023-03-01,BTC_SPLYADRTOP100,2882535.64630928
2023-03-02,BTC_SPLYADRTOP100,2884446.50910296
2023-03-03,BTC_SPLYADRTOP100,2882501.03852198
2023-03-04,BTC_SPLYADRTOP100,2883350.30777134
2023-03-05,BTC_SPLYADRTOP100,2878414.83163273
2023-03-06,BTC_SPLYADRTOP100,2880355.27337596
2023-03-07,BTC_SPLYADRTOP100,2863149.75035557
2023-03-08,BTC_SPLYADRTOP100,2859274.21006997
2023-03-09,BTC_SPLYADRTOP100,2861544.34765905
2023-03-10,BTC_SPLYADRTOP100,2847789.45776509
2023-03-11,BTC_SPLYADRTOP100,2843879.9690384
2023-03-12,BTC_SPLYADRTOP100,2845698.86936133
2023-03-13,BTC_SPLYADRTOP100,2869145.56185938
2023-03-14,BTC_SPLYADRTOP100,2877146.67235775
2023-03-15,BTC_SPLYADRTOP100,2876662.51522815
2023-03-16,BTC_SPLYADRTOP100,2863464.73387932
2023-03-17,BTC_SPLYADRTOP100,2862747.05530033
2023-03-18,BTC_SPLYADRTOP100,2866813.8812486
2023-03-19,BTC_SPLYADRTOP100,2860634.43080427
2023-03-20,BTC_SPLYADRTOP100,2862831.85204078
2023-03-21,BTC_SPLYADRTOP100,2859154.63796186
2023-03-22,BTC_SPLYADRTOP100,2867267.05775583
2023-03-23,BTC_SPLYADRTOP100,2866246.70183577
2023-03-24,BTC_SPLYADRTOP100,2863113.17603076
2023-03-25,BTC_SPLYADRTOP100,2868966.3216387
2023-03-26,BTC_SPLYADRTOP100,2870822.4015232
2023-03-27,BTC_SPLYADRTOP100,2857845.7433078
2023-03-28,BTC_SPLYADRTOP100,2860202.83881863
2023-03-29,BTC_SPLYADRTOP100,2858111.26288208
2023-03-30,BTC_SPLYADRTOP100,2860571.46366464
2023-03-31,BTC_SPLYADRTOP100,2859971.67932657
2023-04-01,BTC_SPLYADRTOP100,2861591.77839843
2023-04-02,BTC_SPLYADRTOP100,2862455.11681306
2023-04-03,BTC_SPLYADRTOP100,2863808.32341491
2023-04-04,BTC_SPLYADRTOP100,2863891.00822761
2023-04-05,BTC_SPLYADRTOP100,2866242.45469627
2023-04-06,BTC_SPLYADRTOP100,2865705.42563885
2023-04-07,BTC_SPLYADRTOP100,2868731.935515
2023-04-08,BTC_SPLYADRTOP100,2866915.72783242
2023-04-09,BTC_SPLYADRTOP100,2869426.06638921
2023-04-10,BTC_SPLYADRTOP100,2866694.62015797
2023-04-11,BTC_SPLYADRTOP100,2889011.53873713
2023-04-12,BTC_SPLYADRTOP100,2886817.68185387
2023-04-13,BTC_SPLYADRTOP100,2890259.11172323
2023-04-14,BTC_SPLYADRTOP100,2874428.06498527
2023-04-15,BTC_SPLYADRTOP100,2877675.07920809
2023-04-16,BTC_SPLYADRTOP100,2877402.44092414
2023-04-17,BTC_SPLYADRTOP100,2876294.31634039
2023-04-18,BTC_SPLYADRTOP100,2873835.79278076
2023-04-19,BTC_SPLYADRTOP100,2877218.49434041
2023-04-20,BTC_SPLYADRTOP100,2881046.77610701
2023-04-21,BTC_SPLYADRTOP100,2889045.1334473
2023-04-22,BTC_SPLYADRTOP100,2890634.71082402
2023-04-23,BTC_SPLYADRTOP100,2883766.47814966
2023-04-24,BTC_SPLYADRTOP100,2887549.6870831
2023-04-25,BTC_SPLYADRTOP100,2885941.73265212
2023-04-26,BTC_SPLYADRTOP100,2884912.25320058
2023-04-27,BTC_SPLYADRTOP100,2889147.24963144
2023-04-28,BTC_SPLYADRTOP100,2887403.48831666
2023-04-29,BTC_SPLYADRTOP100,2890552.20873702
2023-04-30,BTC_SPLYADRTOP100,2892603.60920945
2023-05-01,BTC_SPLYADRTOP100,2891720.99156372
2023-05-02,BTC_SPLYADRTOP100,2884732.42581552
2023-05-03,BTC_SPLYADRTOP100,2889535.39324825
2023-05-04,BTC_SPLYADRTOP100,2886145.13630503
2023-05-05,BTC_SPLYADRTOP100,2881165.12687387
2023-05-06,BTC_SPLYADRTOP100,2881733.26054558
2023-05-07,BTC_SPLYADRTOP100,2845551.19775457
2023-05-08,BTC_SPLYADRTOP100,2830922.14668216
2023-05-09,BTC_SPLYADRTOP100,2823913.281458
2023-05-10,BTC_SPLYADRTOP100,2827231.46893492
2023-05-11,BTC_SPLYADRTOP100,2820384.5193227
2023-05-12,BTC_SPLYADRTOP100,2818329.44017351
2023-05-13,BTC_SPLYADRTOP100,2818290.12713835
2023-05-14,BTC_SPLYADRTOP100,2832653.44869958
2023-05-15,BTC_SPLYADRTOP100,2825241.32980978
2023-05-16,BTC_SPLYADRTOP100,2827635.43130343
2023-05-17,BTC_SPLYADRTOP100,2832564.13033384
2023-05-18,BTC_SPLYADRTOP100,2834529.5403665
2023-05-19,BTC_SPLYADRTOP100,2836374.84953666
2023-05-20,BTC_SPLYADRTOP100,2836696.43184992
2023-05-21,BTC_SPLYADRTOP100,2836879.06317669
2023-05-22,BTC_SPLYADRTOP100,2827660.99589687
2023-05-23,BTC_SPLYADRTOP100,2830955.05881355
2023-05-24,BTC_SPLYADRTOP100,2837274.82628421
2023-05-25,BTC_SPLYADRTOP100,2846000.55410143
2023-05-26,BTC_SPLYADRTOP100,2832563.22911465
2023-05-27,BTC_SPLYADRTOP100,2834924.27145872
2023-05-28,BTC_SPLYADRTOP100,2836855.61114887
2023-05-29,BTC_SPLYADRTOP100,2837917.41212699
2023-05-30,BTC_SPLYADRTOP100,2841834.57003556
2023-05-31,BTC_SPLYADRTOP100,2849581.46967197
2023-06-01,BTC_SPLYADRTOP100,2848507.3196765
2023-06-02,BTC_SPLYADRTOP100,2850389.9007382
2023-06-03,BTC_SPLYADRTOP100,2857515.31709836
2023-06-04,BTC_SPLYADRTOP100,2871593.66564287
2023-06-05,BTC_SPLYADRTOP100,2856358.38019215
2023-06-06,BTC_SPLYADRTOP100,2859370.60925724
2023-06-07,BTC_SPLYADRTOP100,2848616.14592875
2023-06-08,BTC_SPLYADRTOP100,2847182.67279844
2023-06-09,BTC_SPLYADRTOP100,2850379.99302121
2023-06-10,BTC_SPLYADRTOP100,2847157.72732702
2023-06-11,BTC_SPLYADRTOP100,2844038.14187243
2023-06-12,BTC_SPLYADRTOP100,2848194.92530204
2023-06-13,BTC_SPLYADRTOP100,2848098.10468567
2023-06-14,BTC_SPLYADRTOP100,2846896.3142417
2023-06-15,BTC_SPLYADRTOP100,2843715.51750637
2023-06-16,BTC_SPLYADRTOP100,2835842.76896669
2023-06-17,BTC_SPLYADRTOP100,2834201.89469725
2023-06-18,BTC_SPLYADRTOP100,2832691.63856084
2023-06-19,BTC_SPLYADRTOP100,2826788.72510311
2023-06-20,BTC_SPLYADRTOP100,2823232.49492204
2023-06-21,BTC_SPLYADRTOP100,2828571.83397082
2023-06-22,BTC_SPLYADRTOP100,2825725.75921396
2023-06-23,BTC_SPLYADRTOP100,2826119.74104389
2023-06-24,BTC_SPLYADRTOP100,2826710.2804278
2023-06-25,BTC_SPLYADRTOP100,2829423.69662578
2023-06-26,BTC_SPLYADRTOP100,2821505.89418302
2023-06-27,BTC_SPLYADRTOP100,2818653.74466503
2023-06-28,BTC_SPLYADRTOP100,2825827.61193512
2023-06-29,BTC_SPLYADRTOP100,2831161.39830438
2023-06-30,BTC_SPLYADRTOP100,2836258.57666349
2023-07-01,BTC_SPLYADRTOP100,2839128.96465767
2023-07-02,BTC_SPLYADRTOP100,2837788.04731178
2023-07-03,BTC_SPLYADRTOP100,2829864.97330106
2023-07-04,BTC_SPLYADRTOP100,2834284.34055431
2023-07-05,BTC_SPLYADRTOP100,2837865.66456351
2023-07-06,BTC_SPLYADRTOP100,2836597.36076878
2023-07-07,BTC_SPLYADRTOP100,2833998.86048235
2023-07-08,BTC_SPLYADRTOP100,2836486.04147689
2023-07-09,BTC_SPLYADRTOP100,2836160.75720074
2023-07-10,BTC_SPLYADRTOP100,2836778.90144882
2023-07-11,BTC_SPLYADRTOP100,2836125.29684265
2023-07-12,BTC_SPLYADRTOP100,2837072.58159497
2023-07-13,BTC_SPLYADRTOP100,2839200.20084088
2023-07-14,BTC_SPLYADRTOP100,2841774.96560279
2023-07-15,BTC_SPLYADRTOP100,2840548.06083545
2023-07-16,BTC_SPLYADRTOP100,2840770.58922909
2023-07-17,BTC_SPLYADRTOP100,2842917.31423181
2023-07-18,BTC_SPLYADRTOP100,2844139.56084974
2023-07-19,BTC_SPLYADRTOP100,2839771.74231693
2023-07-20,BTC_SPLYADRTOP100,2841918.71835767
2023-07-21,BTC_SPLYADRTOP100,2850227.78170343
2023-07-22,BTC_SPLYADRTOP100,2850127.18229895
2023-07-23,BTC_SPLYADRTOP100,2851313.4184329
2023-07-24,BTC_SPLYADRTOP100,2853766.62302619
2023-07-25,BTC_SPLYADRTOP100,2856467.84402275
2023-07-26,BTC_SPLYADRTOP100,2855824.80846264
2023-07-27,BTC_SPLYADRTOP100,2860615.98443633
2023-07-28,BTC_SPLYADRTOP100,2862694.3422664
2023-07-29,BTC_SPLYADRTOP100,2863714.81754886
2023-07-30,BTC_SPLYADRTOP100,2863302.74200005
2023-07-31,BTC_SPLYADRTOP100,2864827.80764106
2023-08-01,BTC_SPLYADRTOP100,2869497.81017625
2023-08-02,BTC_SPLYADRTOP100,2861417.18805196
2023-08-03,BTC_SPLYADRTOP100,2858135.43664862
2023-08-04,BTC_SPLYADRTOP100,2858587.84001555
2023-08-05,BTC_SPLYADRTOP100,2861932.66550061
2023-08-06,BTC_SPLYADRTOP100,2862430.58655669
2023-08-07,BTC_SPLYADRTOP100,2863613.72465388
2023-08-08,BTC_SPLYADRTOP100,2858380.42830613
2023-08-09,BTC_SPLYADRTOP100,2860509.89910196
2023-08-10,BTC_SPLYADRTOP100,2863689.71222412
2023-08-11,BTC_SPLYADRTOP100,2865331.04284573
2023-08-12,BTC_SPLYADRTOP100,2865403.09710154
2023-08-13,BTC_SPLYADRTOP100,2866623.58826546
2023-08-14,BTC_SPLYADRTOP100,2873949.52315625
2023-08-15,BTC_SPLYADRTOP100,2874873.3167113
2023-08-16,BTC_SPLYADRTOP100,2878267.23143429
2023-08-17,BTC_SPLYADRTOP100,2880853.61210151
2023-08-18,BTC_SPLYADRTOP100,2881224.0548949
2023-08-19,BTC_SPLYADRTOP100,2877743.21550538
2023-08-20,BTC_SPLYADRTOP100,2877112.69397293
2023-08-21,BTC_SPLYADRTOP100,2872857.44651489
2023-08-22,BTC_SPLYADRTOP100,2873464.44220434
2023-08-23,BTC_SPLYADRTOP100,2865567.9709183
2023-08-24,BTC_SPLYADRTOP100,2864144.71556534
2023-08-25,BTC_SPLYADRTOP100,2858521.19229177
2023-08-26,BTC_SPLYADRTOP100,2861525.81041566
2023-08-27,BTC_SPLYADRTOP100,2859563.70812024
2023-08-28,BTC_SPLYADRTOP100,2854428.23017173
2023-08-29,BTC_SPLYADRTOP100,2858313.62319683
2023-08-30,BTC_SPLYADRTOP100,2856382.04192799
2023-08-31,BTC_SPLYADRTOP100,2861831.93764222
2023-09-01,BTC_SPLYADRTOP100,2868529.98372003
2023-09-02,BTC_SPLYADRTOP100,2868823.49165645
2023-09-03,BTC_SPLYADRTOP100,2867645.3056735
2023-09-04,BTC_SPLYADRTOP100,2865816.93847681
2023-09-05,BTC_SPLYADRTOP100,2865732.58252468
2023-09-06,BTC_SPLYADRTOP100,2859586.84352381
2023-09-07,BTC_SPLYADRTOP100,2858108.11039846
2023-09-08,BTC_SPLYADRTOP100,2858717.71330478
2023-09-09,BTC_SPLYADRTOP100,2858793.0167102995
2023-09-10,BTC_SPLYADRTOP100,2857848.03354149
2023-09-11,BTC_SPLYADRTOP100,2861349.75134376
2023-09-12,BTC_SPLYADRTOP100,2860123.73900603
2023-09-13,BTC_SPLYADRTOP100,2859153.32212923
2023-09-14,BTC_SPLYADRTOP100,2858335.88642924
2023-09-15,BTC_SPLYADRTOP100,2856787.69426108
2023-09-16,BTC_SPLYADRTOP100,2857235.81837338
2023-09-17,BTC_SPLYADRTOP100,2856223.11853163
2023-09-18,BTC_SPLYADRTOP100,2853166.70095372
2023-09-19,BTC_SPLYADRTOP100,2852051.460426
2023-09-20,BTC_SPLYADRTOP100,2849463.07642868
2023-09-21,BTC_SPLYADRTOP100,2849020.6648540003
2023-09-22,BTC_SPLYADRTOP100,2853958.28330303
2023-09-23,BTC_SPLYADRTOP100,2843561.68685308
2023-09-24,BTC_SPLYADRTOP100,2843613.83092382
2023-09-25,BTC_SPLYADRTOP100,2845090.29085651
2023-09-26,BTC_SPLYADRTOP100,2844900.00317336
2023-09-27,BTC_SPLYADRTOP100,2846675.91815771
2023-09-28,BTC_SPLYADRTOP100,2844766.73806987
2023-09-29,BTC_SPLYADRTOP100,2845084.31850418
2023-09-30,BTC_SPLYADRTOP100,2845585.68459387
2023-10-01,BTC_SPLYADRTOP100,2846689.57348187
2023-10-02,BTC_SPLYADRTOP100,2848874.07330799
2023-10-03,BTC_SPLYADRTOP100,2847804.26283586
2023-10-04,BTC_SPLYADRTOP100,2848728.75546707
2023-10-05,BTC_SPLYADRTOP100,2846950.03523772
2023-10-06,BTC_SPLYADRTOP100,2847336.15228484
2023-10-07,BTC_SPLYADRTOP100,2846869.57594492
2023-10-08,BTC_SPLYADRTOP100,2847457.91968713
2023-10-09,BTC_SPLYADRTOP100,2847696.92162421
2023-10-10,BTC_SPLYADRTOP100,2849628.13391503
2023-10-11,BTC_SPLYADRTOP100,2856107.95271037
2023-10-12,BTC_SPLYADRTOP100,2860403.30006389
2023-10-13,BTC_SPLYADRTOP100,2862157.97869151
2023-10-14,BTC_SPLYADRTOP100,2860505.51306088
2023-10-15,BTC_SPLYADRTOP100,2861514.40753139
2023-10-16,BTC_SPLYADRTOP100,2857687.49989216
2023-10-17,BTC_SPLYADRTOP100,2854339.26596498
2023-10-18,BTC_SPLYADRTOP100,2853639.08819634
2023-10-19,BTC_SPLYADRTOP100,2850832.36481783
2023-10-20,BTC_SPLYADRTOP100,2851018.48479043
2023-10-21,BTC_SPLYADRTOP100,2853256.66166589
2023-10-22,BTC_SPLYADRTOP100,2854093.02532927
2023-10-23,BTC_SPLYADRTOP100,2852130.71220805
2023-10-24,BTC_SPLYADRTOP100,2855444.67876307
2023-10-25,BTC_SPLYADRTOP100,2857153.74264946
2023-10-26,BTC_SPLYADRTOP100,2853864.58694371
2023-10-27,BTC_SPLYADRTOP100,2855877.48016185
2023-10-28,BTC_SPLYADRTOP100,2858325.26154654
2023-10-29,BTC_SPLYADRTOP100,2858677.28918817
2023-10-30,BTC_SPLYADRTOP100,2857256.87014106
2023-10-31,BTC_SPLYADRTOP100,2858129.38819135
2023-11-01,BTC_SPLYADRTOP100,2858332.39921667
2023-11-02,BTC_SPLYADRTOP100,2862523.38383261
2023-11-03,BTC_SPLYADRTOP100,2860939.72431661
2023-11-04,BTC_SPLYADRTOP100,2861331.28114971
2023-11-05,BTC_SPLYADRTOP100,2862360.84252702
2023-11-06,BTC_SPLYADRTOP100,2864013.12659679
2023-11-07,BTC_SPLYADRTOP100,2867121.65022311
2023-11-08,BTC_SPLYADRTOP100,2866150.04490965
2023-11-09,BTC_SPLYADRTOP100,2850340.09169448
2023-11-10,BTC_SPLYADRTOP100,2879996.98409876
2023-11-11,BTC_SPLYADRTOP100,2886219.32332941
2023-11-12,BTC_SPLYADRTOP100,2885399.01029939
2023-11-13,BTC_SPLYADRTOP100,2883885.76886011
2023-11-14,BTC_SPLYADRTOP100,2886382.87119803
2023-11-15,BTC_SPLYADRTOP100,2883332.7509234
2023-11-16,BTC_SPLYADRTOP100,2882970.62580349
2023-11-17,BTC_SPLYADRTOP100,2887211.59822632
2023-11-18,BTC_SPLYADRTOP100,2889263.02128919
2023-11-19,BTC_SPLYADRTOP100,2889110.06619941
2023-11-20,BTC_SPLYADRTOP100,2883881.38061698
2023-11-21,BTC_SPLYADRTOP100,2867266.17220293
2023-11-22,BTC_SPLYADRTOP100,2862809.6993605
2023-11-23,BTC_SPLYADRTOP100,2868941.96531198
2023-11-24,BTC_SPLYADRTOP100,2860805.3410756
2023-11-25,BTC_SPLYADRTOP100,2863320.12623112
2023-11-26,BTC_SPLYADRTOP100,2862441.76118061
2023-11-27,BTC_SPLYADRTOP100,2861547.05130793
2023-11-28,BTC_SPLYADRTOP100,2855524.33626621
2023-11-29,BTC_SPLYADRTOP100,2859175.89813165
2023-11-30,BTC_SPLYADRTOP100,2861257.57453054
2023-12-01,BTC_SPLYADRTOP100,2861582.06017096
2023-12-02,BTC_SPLYADRTOP100,2861628.55707158
2023-12-03,BTC_SPLYADRTOP100,2861450.70683248
2023-12-04,BTC_SPLYADRTOP100,2862671.36474882
2023-12-05,BTC_SPLYADRTOP100,2861992.49455232
2023-12-06,BTC_SPLYADRTOP100,2870004.49667118
2023-12-07,BTC_SPLYADRTOP100,2869902.01400022
2023-12-08,BTC_SPLYADRTOP100,2875019.56632036
2023-12-09,BTC_SPLYADRTOP100,2877869.27862777
2023-12-10,BTC_SPLYADRTOP100,2879885.39986923
2023-12-11,BTC_SPLYADRTOP100,2885958.43358034
2023-12-12,BTC_SPLYADRTOP100,2890987.2749985
2023-12-13,BTC_SPLYADRTOP100,2887993.30748848
2023-12-14,BTC_SPLYADRTOP100,2885882.28758673
2023-12-15,BTC_SPLYADRTOP100,2887412.82515951
2023-12-16,BTC_SPLYADRTOP100,2891145.88781035
2023-12-17,BTC_SPLYADRTOP100,2895820.09750936
2023-12-18,BTC_SPLYADRTOP100,2896667.41105096
2023-12-19,BTC_SPLYADRTOP100,2895651.76465035
2023-12-20,BTC_SPLYADRTOP100,2896411.88341382
2023-12-21,BTC_SPLYADRTOP100,2893839.30406446
2023-12-22,BTC_SPLYADRTOP100,2890661.52481201
2023-12-23,BTC_SPLYADRTOP100,2890580.55968653
2023-12-24,BTC_SPLYADRTOP100,2890814.39319809
2023-12-25,BTC_SPLYADRTOP100,2894203.80995821
2023-12-26,BTC_SPLYADRTOP100,2890483.9144516
2023-12-27,BTC_SPLYADRTOP100,2879508.26823682
2023-12-28,BTC_SPLYADRTOP100,2877275.94205027
2023-12-29,BTC_SPLYADRTOP100,2875058.71028672
2023-12-30,BTC_SPLYADRTOP100,2890358.73064436
2023-12-31,BTC_SPLYADRTOP100,2905677.89904039
2024-01-01,BTC_SPLYADRTOP100,2903820.60956485
2024-01-02,BTC_SPLYADRTOP100,2904786.0881844
2024-01-03,BTC_SPLYADRTOP100,2910056.03716373
2024-01-04,BTC_SPLYADRTOP100,2903717.43832661
