time,symbol,close,high,low,open,volume
2021-02-09,@VX#C,40.34,41.1379,40.0879,40.4879,71579.0
2021-02-10,@VX#C,40.3792,41.7879,40.0379,40.4379,95580.0
2021-02-11,@VX#C,39.3479,40.9879,39.2879,40.3879,86236.0
2021-02-12,@VX#C,37.9973,40.3879,37.9379,39.6379,83230.0
2021-02-16,@VX#C,37.8797,39.1379,37.7879,38.0379,111226.0
2021-02-17,@VX#C,37.3546,38.8046,37.3046,37.8546,119698.0
2021-02-18,@VX#C,37.5563,38.5046,37.2546,37.5046,106783.0
2021-02-19,@VX#C,36.5534,38.3046,36.3046,37.6046,117406.0
2021-02-22,@VX#C,37.6577,38.0546,36.3546,36.5546,107045.0
2021-02-23,@VX#C,36.5026,39.3046,36.4546,37.3046,147783.0
2021-02-24,@VX#C,35.5141,37.7546,35.4546,36.7546,110416.0
2021-02-25,@VX#C,39.9696,40.7546,35.5546,35.7546,209128.0
2021-02-26,@VX#C,38.499,41.1046,37.9046,40.0546,196456.0
2021-03-01,@VX#C,36.3704,38.7546,35.9546,38.5046,113262.0
2021-03-02,@VX#C,36.5196,36.9046,35.9046,36.2546,95795.0
2021-03-03,@VX#C,37.8821,38.0046,35.4046,36.5046,130079.0
2021-03-04,@VX#C,39.2756,41.0046,36.9546,37.9546,165809.0
2021-03-05,@VX#C,36.8053,40.3046,36.6546,39.0546,142788.0
2021-03-08,@VX#C,37.1213,38.4046,36.1046,36.6546,109828.0
2021-03-09,@VX#C,35.7272,37.3046,35.3546,37.1546,94573.0
2021-03-10,@VX#C,35.2594,36.0046,34.8046,35.7046,104199.0
2021-03-11,@VX#C,34.6428,35.4046,34.4046,35.1046,77841.0
2021-03-12,@VX#C,33.7324,35.5546,33.7046,34.7546,89608.0
2021-03-15,@VX#C,31.8552,33.9546,31.8046,33.8046,82108.0
2021-03-16,@VX#C,31.675,32.3546,31.3046,32.2046,85204.0
2021-03-17,@VX#C,30.6305,32.178,30.578,31.628,100529.0
2021-03-18,@VX#C,31.9281,32.178,30.378,30.778,119571.0
2021-03-19,@VX#C,30.943,32.428,30.828,31.778,98565.0
2021-03-22,@VX#C,29.359,31.478,29.178,31.228,86738.0
2021-03-23,@VX#C,30.461,30.928,29.378,29.428,101610.0
2021-03-24,@VX#C,30.6055,30.728,29.478,30.228,95892.0
2021-03-25,@VX#C,29.9336,32.128,29.828,30.528,136596.0
2021-03-26,@VX#C,29.0139,30.528,28.728,29.928,133483.0
2021-03-29,@VX#C,29.6312,30.328,29.078,29.178,109585.0
2021-03-30,@VX#C,28.6601,29.978,28.628,29.528,76406.0
2021-03-31,@VX#C,28.362,28.978,28.028,28.728,89544.0
2021-04-01,@VX#C,27.7104,28.428,27.428,28.328,85570.0
2021-04-05,@VX#C,27.1703,27.528,26.928,27.528,64903.0
2021-04-06,@VX#C,27.189,27.478,26.778,27.128,73609.0
2021-04-07,@VX#C,26.614,27.328,26.478,27.278,73027.0
2021-04-08,@VX#C,26.1167,26.528,25.878,26.528,89696.0
2021-04-09,@VX#C,25.7785,26.428,25.628,26.028,65479.0
2021-04-12,@VX#C,25.6319,26.478,25.578,25.978,75084.0
2021-04-13,@VX#C,25.3061,26.078,25.178,25.678,85452.0
2021-04-14,@VX#C,25.7269,25.928,25.078,25.378,97555.0
2021-04-15,@VX#C,24.7803,25.628,24.728,25.578,67884.0
2021-04-16,@VX#C,24.6299,25.028,24.478,24.778,67869.0
2021-04-19,@VX#C,25.285,26.128,24.728,24.828,93266.0
2021-04-20,@VX#C,26.2806,26.928,25.078,25.328,90513.0
2021-04-21,@VX#C,25.2233,26.7778,25.0778,26.4778,106851.0
2021-04-22,@VX#C,26.3936,26.8778,25.0778,25.4278,142688.0
2021-04-23,@VX#C,25.6596,26.3778,25.1278,26.2778,98966.0
2021-04-26,@VX#C,25.4329,25.7778,25.3278,25.6278,62805.0
2021-04-27,@VX#C,24.9371,25.6778,24.8778,25.4778,78382.0
2021-04-28,@VX#C,24.891,25.2278,24.7278,25.0278,71265.0
2021-04-29,@VX#C,24.7962,25.6278,24.4278,24.8778,86698.0
2021-04-30,@VX#C,25.6658,25.9278,24.8778,24.8778,98510.0
2021-05-03,@VX#C,24.9602,25.7278,24.8778,25.6778,80758.0
2021-05-04,@VX#C,25.7771,27.2278,24.8278,24.9778,139634.0
2021-05-05,@VX#C,25.2062,26.0778,24.7278,25.9778,91013.0
2021-05-06,@VX#C,24.917,26.3278,24.8278,25.3278,92278.0
2021-05-07,@VX#C,23.5195,25.1778,23.4278,25.0278,88812.0
2021-05-10,@VX#C,24.7097,25.1278,23.2278,23.5778,113759.0
2021-05-11,@VX#C,26.4666,27.3278,24.7278,24.9278,189216.0
2021-05-12,@VX#C,31.2003,32.3778,26.4278,26.9278,196274.0
2021-05-13,@VX#C,27.921,32.2278,27.3778,31.4778,135964.0
2021-05-14,@VX#C,24.359,28.1278,24.1278,27.9778,107377.0
2021-05-17,@VX#C,25.1341,26.5778,24.1778,24.4778,88206.0
2021-05-18,@VX#C,26.3716,27.1278,24.0278,24.9278,79787.0
2021-05-19,@VX#C,27.3783,29.6422,26.2922,26.4922,207953.0
2021-05-20,@VX#C,26.0953,27.9922,25.8422,27.6422,104176.0
2021-05-21,@VX#C,25.8375,26.1922,25.3922,26.1922,71397.0
2021-05-24,@VX#C,24.7491,26.2422,24.4922,26.0422,65826.0
2021-05-25,@VX#C,24.6934,25.1422,24.4922,24.8422,67262.0
2021-05-26,@VX#C,23.6154,24.6422,23.5922,24.6422,73506.0
2021-05-27,@VX#C,22.5591,24.0922,22.4922,23.5922,81396.0
2021-05-28,@VX#C,23.1265,23.1922,22.4422,22.5922,77714.0
2021-06-01,@VX#C,23.5473,23.6422,22.4422,22.9422,83140.0
2021-06-02,@VX#C,22.917,23.5922,22.6422,23.3922,64289.0
2021-06-03,@VX#C,23.2787,23.9922,22.9422,22.9922,75480.0
2021-06-04,@VX#C,22.1168,23.6922,21.9422,23.3422,83236.0
2021-06-07,@VX#C,21.6281,22.5422,21.5922,22.1922,53372.0
2021-06-08,@VX#C,21.8934,22.4422,21.4922,21.7422,64345.0
2021-06-09,@VX#C,22.3719,22.4922,21.6422,21.9922,63985.0
2021-06-10,@VX#C,20.8953,22.6422,20.8422,22.3422,79703.0
2021-06-11,@VX#C,20.5427,21.0422,20.0922,20.9922,67007.0
2021-06-14,@VX#C,20.4436,21.0422,20.0422,20.5922,65209.0
2021-06-15,@VX#C,21.0936,21.3922,20.1922,20.6422,72601.0
2021-06-16,@VX#C,21.1521,21.7291,20.3791,20.8791,109962.0
2021-06-17,@VX#C,21.0437,22.0791,20.3791,21.3291,92236.0
2021-06-18,@VX#C,22.8681,23.1791,20.7791,20.9791,159384.0
2021-06-21,@VX#C,21.445,23.7791,21.1291,22.9791,113975.0
2021-06-22,@VX#C,20.3556,21.8791,20.2291,21.6291,95264.0
2021-06-23,@VX#C,19.9704,20.4791,19.7791,20.3291,61946.0
2021-06-24,@VX#C,19.6961,19.9291,19.4291,19.9291,55526.0
2021-06-25,@VX#C,19.2308,19.8291,19.1791,19.6791,51228.0
2021-06-28,@VX#C,19.2504,19.5791,19.0291,19.2291,58554.0
2021-06-29,@VX#C,19.6569,19.7291,19.0791,19.2791,54954.0
2021-06-30,@VX#C,19.4324,19.9291,19.2791,19.5791,69357.0
2021-07-01,@VX#C,19.0026,19.5291,18.9791,19.3791,59366.0
2021-07-02,@VX#C,18.9997,19.1791,18.3791,19.0791,79965.0
2021-07-06,@VX#C,19.5278,20.2291,18.7291,18.9791,94335.0
2021-07-07,@VX#C,19.5776,20.3291,19.2291,19.6791,74187.0
2021-07-08,@VX#C,21.0741,22.0291,19.4291,19.4791,156447.0
2021-07-09,@VX#C,19.3253,21.6291,19.2291,21.2791,104248.0
2021-07-12,@VX#C,18.9004,19.9291,18.7791,19.3791,65228.0
2021-07-13,@VX#C,19.2633,19.4291,18.4791,18.8291,76204.0
2021-07-14,@VX#C,18.5761,19.5791,18.4791,19.2791,78877.0
2021-07-15,@VX#C,19.0391,19.7791,18.6791,18.6791,91530.0
2021-07-16,@VX#C,20.1519,20.2791,18.3291,19.1791,80811.0
2021-07-19,@VX#C,24.2671,26.2791,19.8791,20.0791,141925.0
2021-07-20,@VX#C,21.4852,24.3791,21.2791,23.4791,79034.0
2021-07-21,@VX#C,20.1082,21.85,20.05,21.4,96457.0
2021-07-22,@VX#C,20.5665,20.85,19.9,20.1,82003.0
2021-07-23,@VX#C,20.3675,20.5,19.95,20.2,67116.0
2021-07-26,@VX#C,20.1497,21.45,20.0,20.4,68002.0
2021-07-27,@VX#C,20.7147,21.9,20.05,20.15,113181.0
2021-07-28,@VX#C,20.1089,21.25,19.8,21.1,87299.0
2021-07-29,@VX#C,19.7092,20.7,19.55,20.4,61839.0
2021-07-30,@VX#C,20.274,21.1,19.8,20.1,80337.0
2021-08-02,@VX#C,21.1496,21.3,19.55,20.45,84656.0
2021-08-03,@VX#C,19.8525,21.45,19.8,21.1,92430.0
2021-08-04,@VX#C,19.8494,20.45,19.6,20.0,56908.0
2021-08-05,@VX#C,19.3129,19.95,19.25,19.9,50098.0
2021-08-06,@VX#C,18.7024,19.5,18.65,19.4,69232.0
2021-08-09,@VX#C,18.4231,19.35,18.25,18.8,70508.0
2021-08-10,@VX#C,17.9776,18.6,17.8,18.4,62237.0
2021-08-11,@VX#C,17.4443,18.3,17.35,18.05,73573.0
2021-08-12,@VX#C,17.0028,17.8,16.8,17.65,56780.0
2021-08-13,@VX#C,16.631,17.05,16.5,16.9,57486.0
2021-08-16,@VX#C,19.095,20.541,19.041,19.241,64794.0
2021-08-17,@VX#C,20.1697,21.941,19.091,19.241,84418.0
2021-08-18,@VX#C,21.7058,21.95,20.0,20.4,101407.0
2021-08-19,@VX#C,22.346,23.2,21.3,21.65,197377.0
2021-08-20,@VX#C,20.5273,23.1,20.35,22.2,126294.0
2021-08-23,@VX#C,19.8468,20.6,19.45,20.6,94276.0
2021-08-24,@VX#C,19.7306,19.9,19.5,19.7,60186.0
2021-08-25,@VX#C,19.2328,19.9,19.15,19.65,55067.0
2021-08-26,@VX#C,20.1229,20.45,19.25,19.3,107636.0
2021-08-27,@VX#C,18.9529,20.4,18.8,20.15,81083.0
2021-08-30,@VX#C,18.746,19.2,18.65,19.1,65128.0
2021-08-31,@VX#C,18.6212,19.1,18.45,18.7,66371.0
2021-09-01,@VX#C,18.0805,18.75,17.9,18.5,76389.0
2021-09-02,@VX#C,17.9632,18.45,17.75,18.1,69977.0
2021-09-03,@VX#C,18.3528,18.65,17.85,18.05,81359.0
2021-09-07,@VX#C,18.8314,19.3,17.9,18.3,86267.0
2021-09-08,@VX#C,18.7658,20.15,18.7,18.9,98829.0
2021-09-09,@VX#C,19.3716,20.1,18.35,19.1,104019.0
2021-09-10,@VX#C,20.6249,20.7,18.1,19.5,110074.0
2021-09-13,@VX#C,21.1435,22.6455,20.8955,22.2455,94848.0
2021-09-14,@VX#C,21.5605,22.2455,20.4955,21.1455,81624.0
2021-09-15,@VX#C,20.8379,21.7,20.6,21.4,105461.0
2021-09-16,@VX#C,20.5556,21.4,20.35,20.8,87095.0
2021-09-17,@VX#C,21.9377,22.35,20.4,20.65,117268.0
2021-09-20,@VX#C,24.4629,26.75,21.95,22.35,314143.0
2021-09-21,@VX#C,23.4294,25.0,23.1,24.7,171876.0
2021-09-22,@VX#C,22.0994,24.45,21.65,23.9,136972.0
2021-09-23,@VX#C,20.5996,22.05,20.45,21.95,118533.0
2021-09-24,@VX#C,19.8182,21.35,19.75,20.6,95507.0
2021-09-27,@VX#C,20.1083,20.4,19.3,19.75,81383.0
2021-09-28,@VX#C,22.5173,23.15,20.0,20.35,213237.0
2021-09-29,@VX#C,22.9912,23.15,21.7,22.8,115256.0
2021-09-30,@VX#C,22.8678,23.45,21.65,22.7,122631.0
2021-10-01,@VX#C,21.994,24.05,21.3,23.0,129232.0
2021-10-04,@VX#C,22.681,23.6,21.25,21.65,123006.0
2021-10-05,@VX#C,21.7541,23.55,21.1,22.7,100993.0
2021-10-06,@VX#C,21.2171,23.55,21.15,21.6,124177.0
2021-10-07,@VX#C,20.1013,21.3,20.0,21.3,77164.0
2021-10-08,@VX#C,19.7169,20.35,19.4,20.15,81104.0
2021-10-11,@VX#C,20.1505,20.6,19.0,19.9,76720.0
2021-10-12,@VX#C,19.7169,20.8,19.45,20.2,75257.0
2021-10-13,@VX#C,19.1506,20.2,19.1,20.1,79264.0
2021-10-14,@VX#C,17.6014,19.2,17.55,19.15,79654.0
2021-10-15,@VX#C,17.1727,17.75,16.75,17.65,63143.0
2021-10-18,@VX#C,20.182,21.364,20.114,20.614,66070.0
2021-10-19,@VX#C,19.5287,20.464,19.464,20.364,55204.0
2021-10-20,@VX#C,19.3155,19.75,19.3,19.6,159898.0
2021-10-21,@VX#C,18.6977,19.7,18.65,19.35,74115.0
2021-10-22,@VX#C,19.1016,19.6,18.55,18.95,81858.0
2021-10-25,@VX#C,18.5505,19.45,18.5,19.25,68650.0
2021-10-26,@VX#C,18.9246,19.4,18.25,18.6,77215.0
2021-10-27,@VX#C,19.3496,19.5,18.4,18.95,96839.0
2021-10-28,@VX#C,18.6503,19.35,18.6,19.3,72368.0
2021-10-29,@VX#C,18.7793,19.55,18.65,18.95,78156.0
2021-11-01,@VX#C,18.3999,19.25,18.35,18.75,69406.0
2021-11-02,@VX#C,17.8505,18.65,17.85,18.45,62356.0
2021-11-03,@VX#C,17.1078,18.15,17.0,17.9,79658.0
2021-11-04,@VX#C,17.4041,17.8,16.85,17.2,91756.0
2021-11-05,@VX#C,18.4401,18.55,17.0,17.35,115272.0
2021-11-08,@VX#C,18.4945,18.95,17.95,18.45,93429.0
2021-11-09,@VX#C,18.9001,19.6,18.4,18.4,108975.0
2021-11-10,@VX#C,19.5268,20.3,18.45,18.95,130698.0
2021-11-11,@VX#C,18.7588,19.7,18.35,19.65,82443.0
2021-11-12,@VX#C,17.4182,18.7,17.4,18.65,79568.0
2021-11-15,@VX#C,20.2037,21.0526,20.1526,20.6026,71747.0
2021-11-16,@VX#C,20.0017,20.5526,19.3526,20.2026,73852.0
2021-11-17,@VX#C,20.2745,20.45,19.8,19.95,78436.0
2021-11-18,@VX#C,20.4995,20.75,20.0,20.3,69365.0
2021-11-19,@VX#C,20.7994,21.1,20.2,20.5,87585.0
2021-11-22,@VX#C,21.1529,21.25,20.15,20.7,93227.0
2021-11-23,@VX#C,20.563,21.6,20.5,21.0,104508.0
2021-11-24,@VX#C,20.348,21.6,20.15,20.7,102066.0
2021-11-26,@VX#C,26.5412,27.0,20.05,20.25,239590.0
2021-11-29,@VX#C,22.2041,25.8,21.4,25.75,202834.0
2021-11-30,@VX#C,25.6865,25.8,22.05,22.45,202333.0
2021-12-01,@VX#C,27.8304,27.95,22.6,25.1,166567.0
2021-12-02,@VX#C,25.9392,27.25,25.05,26.7,161371.0
2021-12-03,@VX#C,28.7301,31.5,25.35,25.8,218810.0
2021-12-06,@VX#C,25.8521,28.85,25.7,28.7,131887.0
2021-12-07,@VX#C,22.5437,25.85,22.15,25.85,123012.0
2021-12-08,@VX#C,20.8267,23.1,20.65,22.4,86261.0
2021-12-09,@VX#C,21.5672,22.25,20.45,20.85,93532.0
2021-12-10,@VX#C,19.7975,21.85,19.75,21.6,85031.0
2021-12-13,@VX#C,20.5841,21.25,19.35,19.9,88416.0
2021-12-14,@VX#C,21.2857,22.6,20.1,20.5,94827.0
2021-12-15,@VX#C,19.0758,22.55,19.0,21.55,96275.0
2021-12-16,@VX#C,20.4217,21.25,18.35,19.2,115566.0
2021-12-17,@VX#C,21.0691,22.45,20.0,20.2,103647.0
2021-12-20,@VX#C,24.8999,27.841,23.091,23.141,108419.0
2021-12-21,@VX#C,23.1636,24.741,23.091,24.741,60397.0
2021-12-22,@VX#C,21.8007,23.55,21.8,23.15,86621.0
2021-12-23,@VX#C,21.6518,21.95,21.3,21.8,61154.0
2021-12-27,@VX#C,21.0053,21.9,20.9,21.7,63941.0
2021-12-28,@VX#C,20.5305,21.25,20.45,21.05,73403.0
2021-12-29,@VX#C,20.0072,20.7,19.75,20.5,62080.0
2021-12-30,@VX#C,19.9439,20.15,19.4,19.95,62396.0
2021-12-31,@VX#C,19.6745,20.2,19.5,19.75,50314.0
2022-01-03,@VX#C,18.8578,19.8,18.75,19.6,76498.0
2022-01-04,@VX#C,18.8692,19.65,18.55,19.0,76641.0
2022-01-05,@VX#C,20.7745,21.1,18.65,19.0,113743.0
2022-01-06,@VX#C,20.8496,21.8,20.25,20.95,100872.0
2022-01-07,@VX#C,20.398,21.5,20.2,20.85,92971.0
2022-01-10,@VX#C,19.9034,23.05,19.8,20.55,136154.0
2022-01-11,@VX#C,18.954,20.85,18.9,20.05,106524.0
2022-01-12,@VX#C,19.3539,19.9725,18.9225,19.7725,92713.0
2022-01-13,@VX#C,21.1892,21.3725,19.0225,19.4725,89670.0
2022-01-14,@VX#C,20.4395,22.3725,20.3725,21.2725,98207.0
2022-01-18,@VX#C,23.3922,23.6725,20.2225,20.4725,94153.0
2022-01-19,@VX#C,24.0687,24.15,22.7,23.3,124321.0
2022-01-20,@VX#C,24.9658,25.85,22.4,24.0,120318.0
2022-01-21,@VX#C,27.3086,27.6,24.9,25.5,217083.0
2022-01-24,@VX#C,28.0683,33.1,26.15,27.25,301461.0
2022-01-25,@VX#C,28.1645,31.15,27.25,28.05,182278.0
2022-01-26,@VX#C,28.633,29.45,25.45,29.2,162298.0
2022-01-27,@VX#C,28.8263,30.7,26.45,28.4,141160.0
2022-01-28,@VX#C,26.8734,30.1,26.55,28.0,117246.0
2022-01-31,@VX#C,24.8523,27.9,24.75,26.95,111754.0
2022-02-01,@VX#C,22.7458,25.15,22.6,24.85,102397.0
2022-02-02,@VX#C,22.0259,23.35,21.95,22.8,104722.0
2022-02-03,@VX#C,25.7306,25.85,23.05,23.05,144294.0
2022-02-04,@VX#C,24.2613,26.1,23.35,24.1,125528.0
2022-02-07,@VX#C,23.6521,24.7,22.85,24.3,76932.0
2022-02-08,@VX#C,22.3116,23.9,22.2,23.45,75944.0
2022-02-09,@VX#C,21.1561,22.35,21.1,22.35,74638.0
2022-02-10,@VX#C,24.2186,24.95,21.25,21.35,116707.0
2022-02-11,@VX#C,27.814,29.7,23.7,24.2,131665.0
2022-02-14,@VX#C,28.5025,30.9651,27.3651,27.5651,99259.0
2022-02-15,@VX#C,25.5484,28.9651,25.4151,28.4151,74087.0
2022-02-16,@VX#C,24.4723,26.45,24.4,25.55,100017.0
2022-02-17,@VX#C,27.5683,27.8,24.3,24.55,123784.0
2022-02-18,@VX#C,28.1482,28.85,26.25,27.6,106504.0
2022-02-22,@VX#C,27.9601,30.3,26.75,28.35,142176.0
2022-02-23,@VX#C,29.6693,29.8,26.7,27.8,106590.0
2022-02-24,@VX#C,28.5487,34.05,28.45,29.8,162778.0
2022-02-25,@VX#C,27.2572,30.4,26.85,28.95,109594.0
2022-02-28,@VX#C,28.6169,31.1,28.05,29.5,126566.0
2022-03-01,@VX#C,32.1241,32.6,28.15,28.7,112316.0
2022-03-02,@VX#C,29.6145,32.85,29.35,31.8,92196.0
2022-03-03,@VX#C,29.9057,30.9,28.8,29.95,80310.0
2022-03-04,@VX#C,31.5274,33.2,29.7,29.75,106689.0
2022-03-07,@VX#C,34.8105,34.9,31.4,32.85,93572.0
2022-03-08,@VX#C,33.9186,36.5,32.05,34.8,111610.0
2022-03-09,@VX#C,32.1193,34.35,31.05,34.2,57709.0
2022-03-10,@VX#C,30.4155,33.4,30.15,31.8,59850.0
2022-03-11,@VX#C,31.0024,31.1,28.45,30.4,74322.0
2022-03-14,@VX#C,31.7235,32.8199,29.5199,30.4199,52728.0
2022-03-15,@VX#C,30.7261,32.9,30.0,31.55,82158.0
2022-03-16,@VX#C,27.5411,30.65,27.35,30.5,86547.0
2022-03-17,@VX#C,27.1143,28.1,26.7,27.3,78920.0
2022-03-18,@VX#C,25.6406,27.95,25.5,27.5,74498.0
2022-03-21,@VX#C,25.482,26.45,24.8,25.7,63758.0
2022-03-22,@VX#C,24.9989,25.95,24.7,25.4,59401.0
2022-03-23,@VX#C,24.8925,25.8,24.8,25.0,61528.0
2022-03-24,@VX#C,24.2654,25.2,24.05,25.15,52043.0
2022-03-25,@VX#C,23.4552,24.7,23.4,24.25,64032.0
2022-03-28,@VX#C,22.9946,24.8,22.9,23.55,64645.0
2022-03-29,@VX#C,21.7532,23.15,21.55,23.05,76223.0
2022-03-30,@VX#C,22.07,22.85,21.55,21.85,69188.0
2022-03-31,@VX#C,23.469,23.6,21.75,22.0,63127.0
2022-04-01,@VX#C,22.3324,23.5,22.25,23.15,57647.0
2022-04-04,@VX#C,20.9619,22.6,20.9,22.5,56661.0
2022-04-05,@VX#C,23.2559,23.3,20.95,21.1,66447.0
2022-04-06,@VX#C,23.7022,25.6,22.75,22.8,86195.0
2022-04-07,@VX#C,22.9769,24.45,22.65,24.0,62995.0
2022-04-08,@VX#C,22.8475,23.7,22.0,23.1,49983.0
2022-04-11,@VX#C,24.7042,24.85,22.7,22.75,74357.0
2022-04-12,@VX#C,25.0641,25.55,23.3,24.75,68451.0
2022-04-13,@VX#C,22.6858,25.0,22.5,24.9,58561.0
2022-04-14,@VX#C,23.4211,23.65,21.95,22.9,57635.0
2022-04-18,@VX#C,22.9518,24.35,22.5,23.5,38827.0
2022-04-19,@VX#C,23.5416,25.4927,23.0927,25.0427,45077.0
