Asset,AssetID,Horizons,N_Horizons,Threshold,Sharpe,Return,WinRate,DA,Trades
Crude_Oil,1866,D5+D6+D8,3,0.1,1.58,5.75,33.3,33.3,42
Crude_Oil,1866,D2+D3,2,0.1,1.54,13.38,42.3,42.3,104
Crude_Oil,1866,D9+D10,2,0.05,1.503,15.6,32.7,32.7,113
Crude_Oil,1866,D2+D3,2,0.3,1.422,2.94,35.7,35.7,28
Crude_Oil,1866,D4+D5+D7+D8,4,0.1,1.416,2.19,20.0,20.0,20
Crude_Oil,1866,D5+D6+D9,3,0.1,1.413,4.09,33.3,33.3,36
Crude_Oil,1866,D9+D10,2,0.1,1.401,9.49,30.9,30.9,81
Crude_Oil,1866,D5+D8+D10,3,0.1,1.383,2.21,26.3,26.3,19
Crude_Oil,1866,D1+D5+D8,3,0.1,1.359,1.9,31.6,31.6,19
Crude_Oil,1866,D7+D8+D9+D10,4,0.1,1.306,4.15,34.1,34.1,44
Crude_Oil,1866,D2+D3+D9+D10,4,0.05,1.284,8.42,38.2,38.2,76
Crude_Oil,1866,D2+D5+D6+D10,4,0.05,1.212,8.06,38.7,38.7,75
Crude_Oil,1866,D3+D4+D6,3,0.1,1.203,2.74,35.3,35.3,34
Crude_Oil,1866,D2+D4+D6+D9,4,0.1,1.2,0.47,60.0,60.0,5
Crude_Oil,1866,D3+D5+D6+D8,4,0.05,1.176,7.99,35.1,35.1,77
Crude_Oil,1866,D2+D4+D6,3,0.1,1.159,3.48,39.5,39.5,43
Crude_Oil,1866,D2+D6,2,0.1,1.159,3.48,39.5,39.5,43
Crude_Oil,1866,D2+D6+D8,3,0.1,1.154,1.72,27.8,27.8,18
Crude_Oil,1866,D6+D10,2,0.1,1.149,2.06,34.5,34.5,29
Crude_Oil,1866,D6+D8+D10,3,0.1,1.149,2.06,34.5,34.5,29
Crude_Oil,1866,D3+D6,2,0.1,1.11,2.78,33.3,33.3,39
Crude_Oil,1866,D2+D5+D7+D8,4,0.05,1.061,8.12,38.1,38.1,84
Crude_Oil,1866,D5+D7+D8,3,0.05,1.057,8.03,35.6,35.6,87
Crude_Oil,1866,D5+D6+D8,3,0.05,1.037,7.45,32.6,32.6,89
Crude_Oil,1866,D2+D4,2,0.1,1.033,4.87,37.7,37.7,69
Crude_Oil,1866,D2+D3+D4,3,0.1,1.033,4.87,37.7,37.7,69
Crude_Oil,1866,D6+D7+D8+D10,4,0.1,0.99,2.56,40.0,40.0,30
Crude_Oil,1866,D5+D8,2,0.05,0.958,6.38,34.1,34.1,82
Crude_Oil,1866,D6+D7+D9+D10,4,0.1,0.908,1.53,33.3,33.3,27
Crude_Oil,1866,D3+D4+D9+D10,4,0.1,0.9,0.25,20.0,20.0,5
Crude_Oil,1866,D3+D5+D9+D10,4,0.1,0.9,0.25,20.0,20.0,5
Crude_Oil,1866,D5+D6+D7+D8,4,0.05,0.876,5.37,32.9,32.9,79
Crude_Oil,1866,D9+D10,2,0.2,0.836,1.85,30.3,30.3,33
Crude_Oil,1866,D1+D7+D8,3,0.05,0.831,5.18,32.9,32.9,82
Crude_Oil,1866,D1+D3+D7+D8,4,0.05,0.816,5.44,32.9,32.9,82
Crude_Oil,1866,D2+D5+D6+D8,4,0.05,0.774,5.59,36.9,36.9,84
Crude_Oil,1866,D3+D4+D8,3,0.05,0.773,4.85,35.9,35.9,78
Crude_Oil,1866,D1+D9+D10,3,0.05,0.773,5.56,31.5,31.5,92
Crude_Oil,1866,D5+D7+D9+D10,4,0.05,0.77,4.54,38.7,38.7,75
Crude_Oil,1866,D2+D3+D6+D8,4,0.1,0.77,1.02,40.9,40.9,22
Crude_Oil,1866,D1+D3+D4+D10,4,0.1,0.77,1.14,28.0,28.0,25
Crude_Oil,1866,D1+D3+D7+D8,4,0.1,0.754,0.94,27.8,27.8,18
Crude_Oil,1866,D3+D6+D7+D8,4,0.1,0.744,1.16,36.8,36.8,19
Crude_Oil,1866,D2+D3+D7+D8,4,0.1,0.704,0.89,38.1,38.1,21
Crude_Oil,1866,D5+D7,2,0.1,0.697,2.29,32.6,32.6,43
Crude_Oil,1866,D5+D6+D7,3,0.1,0.697,2.29,32.6,32.6,43
Crude_Oil,1866,D2+D6+D7+D9,4,0.1,0.648,0.91,38.9,38.9,18
Crude_Oil,1866,D4+D5+D6+D9,4,0.1,0.647,0.79,20.8,20.8,24
Crude_Oil,1866,D3+D7+D8,3,0.05,0.622,4.32,34.4,34.4,90
Crude_Oil,1866,D2+D3,2,0.05,0.612,6.23,39.4,39.4,132
Crude_Oil,1866,D3+D4,2,0.1,0.599,3.32,31.7,31.7,82
Crude_Oil,1866,D5+D6+D10,3,0.05,0.542,3.17,31.0,31.0,87
Crude_Oil,1866,D1+D5+D6+D8,4,0.05,0.538,3.41,35.8,35.8,81
Crude_Oil,1866,D1+D3+D4+D9,4,0.1,0.52,0.76,33.3,33.3,27
Crude_Oil,1866,D2+D3+D5+D6,4,0.1,0.519,1.45,37.0,37.0,46
Crude_Oil,1866,D5+D6+D8+D10,4,0.05,0.514,2.44,32.4,32.4,71
Crude_Oil,1866,D1+D7+D9+D10,4,0.1,0.51,0.18,11.1,11.1,9
Crude_Oil,1866,D2+D3+D4,3,0.05,0.493,3.72,36.9,36.9,111
Crude_Oil,1866,D2+D4,2,0.05,0.493,3.72,36.9,36.9,111
Crude_Oil,1866,D3+D4,2,0.05,0.466,3.87,31.4,31.4,118
Crude_Oil,1866,D1+D6+D7+D10,4,0.05,0.454,2.03,32.8,32.8,64
Crude_Oil,1866,D6+D7+D8+D9,4,0.2,0.439,0.11,50.0,50.0,4
Crude_Oil,1866,D3+D8+D10,3,0.1,0.439,0.17,16.7,16.7,6
Crude_Oil,1866,D5+D6,2,0.05,0.429,3.3,34.5,34.5,113
Crude_Oil,1866,D2+D5+D6+D7,4,0.05,0.421,2.17,36.5,36.5,74
Crude_Oil,1866,D2+D5+D6,3,0.05,0.418,2.38,40.2,40.2,82
Crude_Oil,1866,D2+D3+D4+D6,4,0.1,0.413,1.05,34.8,34.8,46
Crude_Oil,1866,D3+D5+D7+D8,4,0.05,0.399,2.1,32.9,32.9,79
Crude_Oil,1866,D1+D2+D4+D8,4,0.1,0.364,0.94,26.1,26.1,46
Crude_Oil,1866,D2+D3,2,0.2,0.356,1.3,36.1,36.1,61
Crude_Oil,1866,D1+D2+D3+D7,4,0.2,0.345,0.09,50.0,50.0,4
Crude_Oil,1866,D5+D9+D10,3,0.05,0.342,1.62,34.6,34.6,78
Crude_Oil,1866,D2+D3+D6,3,0.05,0.334,1.96,35.0,35.0,100
Crude_Oil,1866,D3+D4+D7+D8,4,0.05,0.333,1.69,33.7,33.7,83
Crude_Oil,1866,D2+D7+D8+D10,4,0.05,0.329,1.46,35.6,35.6,73
Crude_Oil,1866,D2+D6+D7+D8,4,0.05,0.311,1.38,34.7,34.7,75
Crude_Oil,1866,D5+D7+D8+D10,4,0.05,0.305,1.27,37.8,37.8,74
Crude_Oil,1866,D5+D6,2,0.1,0.269,1.17,33.7,33.7,83
Crude_Oil,1866,D3+D4+D10,3,0.05,0.243,0.92,35.9,35.9,78
Crude_Oil,1866,D1+D2+D5+D9,4,0.1,0.239,0.4,30.6,30.6,36
Crude_Oil,1866,D1+D2+D7+D8,4,0.05,0.237,1.01,30.0,30.0,90
Crude_Oil,1866,D2+D3+D9,3,0.05,0.228,0.87,37.6,37.6,85
Crude_Oil,1866,D2+D3+D7,3,0.05,0.195,0.71,35.1,35.1,97
Crude_Oil,1866,D1+D2+D6+D10,4,0.05,0.185,0.57,27.9,27.9,86
Crude_Oil,1866,D7+D8,2,0.2,0.184,0.18,43.3,43.3,30
Crude_Oil,1866,D4+D7+D8,3,0.05,0.18,0.53,31.0,31.0,87
Crude_Oil,1866,D7+D10,2,0.05,0.16,0.42,34.0,34.0,94
Crude_Oil,1866,D5+D10,2,0.05,0.133,0.11,38.7,38.7,75
Crude_Oil,1866,D2+D3+D7+D10,4,0.05,0.128,0.1,35.2,35.2,71
Crude_Oil,1866,D2+D9+D10,3,0.05,0.117,0.02,32.1,32.1,84
Crude_Oil,1866,D1+D2+D8+D10,4,0.05,0.115,0.05,27.8,27.8,79
Crude_Oil,1866,D2+D3+D6+D8,4,0.05,0.106,-0.08,34.1,34.1,82
Crude_Oil,1866,D2+D3+D8+D10,4,0.05,0.092,-0.13,35.8,35.8,67
Crude_Oil,1866,D1+D2+D4+D9,4,0.1,0.077,-0.13,28.2,28.2,39
Crude_Oil,1866,D5+D7+D8+D9,4,0.05,0.076,-0.34,34.3,34.3,105
Crude_Oil,1866,D1+D2+D3+D10,4,0.05,0.066,-0.37,31.2,31.2,96
Crude_Oil,1866,D6+D7+D8,3,0.1,0.063,-0.15,29.5,29.5,44
Crude_Oil,1866,D6+D8,2,0.1,0.063,-0.15,29.5,29.5,44
Crude_Oil,1866,D2+D3+D8,3,0.05,0.049,-0.43,34.8,34.8,92
Crude_Oil,1866,D2+D3+D8,3,0.2,0.0,0.0,0.0,0.0,2
Crude_Oil,1866,D4+D5+D6+D8,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D3+D8,4,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D3+D7,4,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D3+D6,4,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D3+D10,4,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D3+D5+D6+D7,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D4+D5,4,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D6+D9,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D3+D9,4,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D3+D5+D6,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D8+D9,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D2+D3+D9,3,0.2,0.0,0.0,0.0,0.0,2
Crude_Oil,1866,D2+D3+D10,3,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D3+D5+D7,3,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D4+D9,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D4+D10,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D5+D7,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D2+D3+D4+D9,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D5+D9,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D5+D10,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D6+D7,4,0.2,0.0,0.0,0.0,0.0,2
Crude_Oil,1866,D3+D4+D6,3,0.2,0.0,0.0,0.0,0.0,3
Crude_Oil,1866,D3+D4+D8,3,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D5+D8,4,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D3+D5,4,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D6+D7,3,0.2,0.0,0.0,0.0,0.0,2
Crude_Oil,1866,D1+D3+D8,3,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D9,3,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D4+D6,3,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D8,3,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D10,3,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D2+D3,2,0.5,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D3+D6,2,0.2,0.0,0.0,0.0,0.0,4
Crude_Oil,1866,D1+D3+D5,3,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D3+D7,2,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D5,2,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D3+D10,3,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D6,3,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D3,3,0.5,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D3+D9,3,0.2,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D3,2,0.5,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D2+D7,3,0.3,0.0,0.0,0.0,0.0,1
Crude_Oil,1866,D1+D5+D7+D8,4,0.05,-0.004,-0.94,33.3,33.3,81
Crude_Oil,1866,D3+D4+D6+D8,4,0.05,-0.025,-1.08,35.1,35.1,77
Crude_Oil,1866,D1+D2+D3+D4,4,0.05,-0.026,-1.36,31.6,31.6,114
Crude_Oil,1866,D3+D4+D5+D6,4,0.1,-0.036,-0.26,29.7,29.7,37
Crude_Oil,1866,D2+D3+D4+D8,4,0.05,-0.045,-1.13,36.2,36.2,80
Crude_Oil,1866,D1+D2+D4+D10,4,0.1,-0.05,-0.57,28.9,28.9,38
Crude_Oil,1866,D1+D4+D7+D8,4,0.05,-0.059,-1.3,32.1,32.1,78
Crude_Oil,1866,D2+D6+D9+D10,4,0.05,-0.075,-1.2,32.8,32.8,64
Crude_Oil,1866,D7+D8+D10,3,0.05,-0.077,-1.44,33.0,33.0,88
Crude_Oil,1866,D1+D4,2,0.05,-0.078,-1.85,31.2,31.2,112
Crude_Oil,1866,D2+D4+D10,3,0.1,-0.081,-0.2,38.5,38.5,13
Crude_Oil,1866,D1+D2,2,0.05,-0.083,-2.45,30.3,30.3,132
Crude_Oil,1866,D1+D2+D7+D10,4,0.05,-0.088,-1.28,27.5,27.5,80
Crude_Oil,1866,D1+D2,2,0.2,-0.095,-1.54,30.7,30.7,75
Crude_Oil,1866,D1+D2+D3,3,0.1,-0.121,-2.04,33.7,33.7,95
Crude_Oil,1866,D1+D3,2,0.1,-0.121,-2.04,33.7,33.7,95
Crude_Oil,1866,D4+D6+D7+D9,4,0.1,-0.124,-0.67,40.0,40.0,20
Crude_Oil,1866,D2+D4+D7+D8,4,0.05,-0.126,-1.91,33.8,33.8,80
Crude_Oil,1866,D1+D7+D8+D10,4,0.05,-0.138,-1.71,33.8,33.8,71
Crude_Oil,1866,D2+D3+D6+D7,4,0.05,-0.139,-1.93,34.9,34.9,83
Crude_Oil,1866,D2+D3+D7+D8,4,0.05,-0.143,-1.87,34.6,34.6,81
Crude_Oil,1866,D1+D2+D3+D10,4,0.1,-0.161,-1.19,33.3,33.3,51
Crude_Oil,1866,D6+D8+D9,3,0.1,-0.167,-1.23,32.8,32.8,58
Crude_Oil,1866,D5+D7,2,0.05,-0.192,-2.65,33.0,33.0,91
Crude_Oil,1866,D5+D6+D7,3,0.05,-0.192,-2.65,33.0,33.0,91
Crude_Oil,1866,D1+D2+D4+D9,4,0.05,-0.194,-2.23,31.0,31.0,87
Crude_Oil,1866,D3+D5+D6,3,0.05,-0.196,-2.29,32.1,32.1,81
Crude_Oil,1866,D1+D5+D6+D8,4,0.1,-0.203,-0.28,17.6,17.6,17
Crude_Oil,1866,D2+D4+D8,3,0.1,-0.207,-0.53,37.9,37.9,29
Crude_Oil,1866,D1+D2,2,0.1,-0.213,-3.24,31.4,31.4,102
Crude_Oil,1866,D1+D6+D9,3,0.1,-0.221,-0.31,18.8,18.8,16
Crude_Oil,1866,D2+D3+D5,3,0.05,-0.227,-3.19,35.5,35.5,110
Crude_Oil,1866,D2+D3+D8+D9,4,0.05,-0.243,-2.23,37.3,37.3,75
Crude_Oil,1866,D2+D4+D9+D10,4,0.05,-0.268,-2.46,30.1,30.1,73
Crude_Oil,1866,D2+D4+D6+D7,4,0.05,-0.272,-2.69,32.9,32.9,76
Crude_Oil,1866,D5+D7+D9,3,0.05,-0.282,-3.42,35.1,35.1,94
Crude_Oil,1866,D1+D2+D5+D8,4,0.1,-0.282,-1.57,28.9,28.9,38
Crude_Oil,1866,D5+D9,2,0.05,-0.282,-3.42,35.1,35.1,94
Crude_Oil,1866,D1+D2+D4+D8,4,0.05,-0.283,-3.22,31.2,31.2,96
Crude_Oil,1866,D2+D6+D9,3,0.05,-0.287,-2.67,35.6,35.6,73
Crude_Oil,1866,D1+D3,2,0.2,-0.306,-1.51,33.3,33.3,42
Crude_Oil,1866,D1+D2+D3,3,0.2,-0.306,-1.51,33.3,33.3,42
Crude_Oil,1866,D3+D7+D8+D10,4,0.05,-0.307,-3.02,35.1,35.1,74
Crude_Oil,1866,D6+D7,2,0.3,-0.325,-0.55,27.3,27.3,11
Crude_Oil,1866,D3+D9+D10,3,0.05,-0.327,-3.17,29.8,29.8,84
Crude_Oil,1866,D1+D2+D3,3,0.05,-0.329,-4.85,31.7,31.7,126
Crude_Oil,1866,D1+D3,2,0.05,-0.329,-4.85,31.7,31.7,126
Crude_Oil,1866,D1+D3+D4+D10,4,0.05,-0.349,-3.0,29.6,29.6,81
Crude_Oil,1866,D1+D2+D4,3,0.1,-0.359,-3.51,31.2,31.2,80
Crude_Oil,1866,D7+D8+D9+D10,4,0.05,-0.363,-3.91,34.0,34.0,97
Crude_Oil,1866,D1+D2+D9+D10,4,0.1,-0.365,-1.4,26.7,26.7,30
Crude_Oil,1866,D1+D4+D6+D8,4,0.05,-0.367,-3.45,30.9,30.9,81
Crude_Oil,1866,D1+D2+D7,3,0.1,-0.368,-3.01,28.1,28.1,64
Crude_Oil,1866,D1+D2+D4+D10,4,0.05,-0.383,-3.8,28.7,28.7,94
Crude_Oil,1866,D1+D4+D6+D7,4,0.05,-0.383,-3.89,30.7,30.7,88
Crude_Oil,1866,D3+D5+D7+D8,4,0.1,-0.386,-0.81,25.0,25.0,16
Crude_Oil,1866,D1+D2+D3+D5,4,0.05,-0.394,-4.97,31.5,31.5,111
Crude_Oil,1866,D1+D2+D3+D7,4,0.05,-0.402,-4.69,30.1,30.1,113
Crude_Oil,1866,D1+D3+D4+D7,4,0.1,-0.421,-1.61,31.0,31.0,42
Crude_Oil,1866,D2+D3+D10,3,0.05,-0.423,-3.54,34.5,34.5,84
Crude_Oil,1866,D5+D6+D8+D9,4,0.05,-0.424,-4.68,34.0,34.0,97
Crude_Oil,1866,D1+D3+D6+D7,4,0.05,-0.428,-4.31,29.7,29.7,91
Crude_Oil,1866,D1+D2+D6+D7,4,0.05,-0.433,-4.69,28.9,28.9,97
Crude_Oil,1866,D5+D6+D9+D10,4,0.05,-0.435,-3.45,32.8,32.8,67
Crude_Oil,1866,D2+D4+D8,3,0.05,-0.441,-3.96,33.8,33.8,77
Crude_Oil,1866,D1+D3+D7,3,0.05,-0.443,-4.83,30.8,30.8,104
Crude_Oil,1866,D2+D3+D5+D7,4,0.05,-0.445,-3.81,33.7,33.7,83
Crude_Oil,1866,D3+D4+D6+D10,4,0.05,-0.449,-3.89,34.2,34.2,73
Crude_Oil,1866,D6+D7+D8,3,0.05,-0.452,-5.27,35.3,35.3,102
Crude_Oil,1866,D6+D8,2,0.05,-0.452,-5.27,35.3,35.3,102
Crude_Oil,1866,D6+D7+D8+D10,4,0.05,-0.461,-4.61,31.8,31.8,85
Crude_Oil,1866,D1+D5+D7,3,0.05,-0.463,-4.56,30.0,30.0,90
Crude_Oil,1866,D3+D8,2,0.05,-0.485,-5.04,33.7,33.7,83
Crude_Oil,1866,D2+D3+D4+D8,4,0.1,-0.493,-1.33,35.9,35.9,39
Crude_Oil,1866,D1+D3+D4,3,0.05,-0.495,-5.59,31.1,31.1,106
Crude_Oil,1866,D3+D7+D8+D10,4,0.1,-0.496,-0.67,23.1,23.1,13
Crude_Oil,1866,D2+D3+D4+D7,4,0.05,-0.498,-4.28,32.5,32.5,83
Crude_Oil,1866,D2+D7+D8+D10,4,0.1,-0.499,-0.25,28.6,28.6,7
Crude_Oil,1866,D2+D4+D6+D8,4,0.05,-0.5,-4.72,32.9,32.9,82
Crude_Oil,1866,D7+D9,2,0.05,-0.502,-5.32,33.9,33.9,109
Crude_Oil,1866,D7+D8+D9,3,0.05,-0.502,-5.32,33.9,33.9,109
Crude_Oil,1866,D1+D4+D10,3,0.05,-0.503,-3.72,26.8,26.8,82
Crude_Oil,1866,D1+D3+D10,3,0.05,-0.507,-3.95,30.6,30.6,85
Crude_Oil,1866,D1+D2+D5+D7,4,0.05,-0.515,-5.2,28.7,28.7,101
Crude_Oil,1866,D1+D6+D10,3,0.05,-0.547,-3.66,31.9,31.9,69
Crude_Oil,1866,D3+D7+D9+D10,4,0.05,-0.549,-4.18,31.9,31.9,69
Crude_Oil,1866,D2+D5+D7+D10,4,0.05,-0.549,-3.73,32.8,32.8,61
Crude_Oil,1866,D1+D2+D9+D10,4,0.05,-0.557,-4.91,26.4,26.4,87
Crude_Oil,1866,D1+D2+D4+D7,4,0.05,-0.564,-5.55,29.7,29.7,101
Crude_Oil,1866,D5+D6+D9,3,0.05,-0.568,-4.56,28.9,28.9,90
Crude_Oil,1866,D1+D2+D10,3,0.1,-0.572,-3.07,23.6,23.6,55
Crude_Oil,1866,D4+D7+D8+D10,4,0.05,-0.586,-4.71,33.3,33.3,75
Crude_Oil,1866,D1+D2+D4+D6,4,0.05,-0.601,-6.33,32.7,32.7,104
Crude_Oil,1866,D1+D3+D4+D8,4,0.05,-0.605,-5.21,29.5,29.5,88
Crude_Oil,1866,D1+D2+D6+D8,4,0.1,-0.621,-1.88,23.5,23.5,34
Crude_Oil,1866,D1+D3+D10,3,0.1,-0.624,-2.68,32.4,32.4,37
Crude_Oil,1866,D7+D9+D10,3,0.05,-0.627,-6.3,32.6,32.6,92
Crude_Oil,1866,D2+D7+D8,3,0.1,-0.627,-1.28,29.2,29.2,24
Crude_Oil,1866,D1+D2+D4,3,0.05,-0.629,-7.3,31.6,31.6,114
Crude_Oil,1866,D2+D3+D6+D9,4,0.05,-0.63,-4.44,33.3,33.3,75
Crude_Oil,1866,D2+D3+D6,3,0.1,-0.63,-3.79,31.7,31.7,60
Crude_Oil,1866,D1+D5+D8,3,0.05,-0.634,-5.43,28.2,28.2,85
Crude_Oil,1866,D1+D5+D6+D7,4,0.05,-0.635,-6.1,30.7,30.7,88
Crude_Oil,1866,D1+D2+D5+D10,4,0.05,-0.649,-5.55,26.7,26.7,90
Crude_Oil,1866,D2+D5+D6+D8,4,0.1,-0.653,-0.72,18.8,18.8,16
Crude_Oil,1866,D1+D3+D5+D8,4,0.05,-0.663,-5.51,28.4,28.4,88
Crude_Oil,1866,D5+D8+D10,3,0.05,-0.664,-5.48,36.4,36.4,77
Crude_Oil,1866,D2+D4+D7+D9,4,0.05,-0.676,-4.94,31.9,31.9,69
Crude_Oil,1866,D1+D3+D8+D10,4,0.05,-0.68,-4.39,31.3,31.3,67
Crude_Oil,1866,D1+D3+D8,3,0.1,-0.687,-3.17,30.2,30.2,43
Crude_Oil,1866,D4+D5+D6+D8,4,0.05,-0.697,-6.72,29.9,29.9,87
Crude_Oil,1866,D3+D5+D6+D7,4,0.1,-0.7,-1.06,25.0,25.0,24
Crude_Oil,1866,D1+D2+D3+D6,4,0.05,-0.701,-7.58,30.9,30.9,110
Crude_Oil,1866,D1+D2+D8,3,0.1,-0.701,-4.49,24.6,24.6,61
Crude_Oil,1866,D1+D5+D6,3,0.05,-0.71,-6.71,31.5,31.5,92
Crude_Oil,1866,D1+D2+D3+D9,4,0.05,-0.719,-6.15,31.5,31.5,92
Crude_Oil,1866,D1+D2+D3+D8,4,0.1,-0.726,-4.29,32.2,32.2,59
Crude_Oil,1866,D1+D6+D9,3,0.05,-0.726,-4.95,28.8,28.8,66
Crude_Oil,1866,D3+D5+D6+D7,4,0.05,-0.743,-6.77,33.8,33.8,77
Crude_Oil,1866,D1+D2+D7+D8,4,0.1,-0.748,-1.9,19.4,19.4,31
Crude_Oil,1866,D5+D6+D7+D10,4,0.05,-0.752,-5.96,31.6,31.6,79
Crude_Oil,1866,D1+D8,2,0.1,-0.752,-1.45,23.8,23.8,21
Crude_Oil,1866,D3+D7+D8+D9,4,0.05,-0.759,-7.44,34.0,34.0,94
Crude_Oil,1866,D3+D6+D8,3,0.05,-0.764,-7.08,31.7,31.7,82
Crude_Oil,1866,D5+D6+D7+D9,4,0.1,-0.767,-2.04,36.0,36.0,25
Crude_Oil,1866,D1+D3+D6+D8,4,0.1,-0.771,-1.45,25.0,25.0,20
Crude_Oil,1866,D2+D4+D8+D10,4,0.05,-0.775,-4.84,30.3,30.3,66
Crude_Oil,1866,D2+D3+D5+D9,4,0.05,-0.777,-5.37,32.9,32.9,76
Crude_Oil,1866,D1+D3+D8,3,0.05,-0.783,-6.6,30.4,30.4,92
Crude_Oil,1866,D1+D2+D4+D5,4,0.05,-0.785,-8.05,30.8,30.8,104
Crude_Oil,1866,D1+D6+D9+D10,4,0.05,-0.788,-5.16,29.7,29.7,64
